# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.009	0.278	0.204	0.003
2	0.014	0.006	0.139	0.004
3	0.030	0.481	0.045	0.035
4	0.006	0.282	0.043	0.001
5	0.108	0.134	0.038	0.072
6	0.011	0.014	0.032	0.001
7	0.062	0.055	0.038	0.051
8	0.056	0.142	0.025	0.023
9	0.077	0.367	0.040	0.037
10	0.032	0.080	0.059	0.013
11	0.052	0.037	0.158	0.014
12	0.250	0.053	0.047	0.039
13	0.145	0.416	0.152	0.106
14	0.088	0.401	0.044	0.185
15	0.027	0.049	0.067	0.030
16	0.148	0.060	0.290	0.015
17	0.000	0.000	0.652	0.000
18	0.000	0.000	0.000	0.000
19	0.000	0.000	0.006	0.000
20	0.105	0.325	0.173	0.020
21	0.137	0.093	0.115	0.163
22	0.097	0.028	0.142	0.020
23	0.015	0.259	0.019	0.006
24	0.063	0.057	0.046	0.043
25	0.091	0.030	0.064	0.029
26	0.061	0.050	0.312	0.020
27	0.023	0.066	0.088	0.005
28	0.020	0.037	0.036	0.015
29	0.062	0.126	0.041	0.101
30	0.254	0.005	0.009	0.003
31	0.147	0.036	0.001	0.071
32	0.175	0.018	0.016	0.005
33	0.003	0.077	0.046	0.056
34	0.059	0.186	0.104	0.020
35	0.127	0.301	0.222	0.086
36	0.082	0.047	0.119	0.156
37	0.261	0.027	0.015	0.024
38	0.018	0.384	0.026	0.028
39	0.021	0.029	0.012	0.018
40	0.174	0.141	0.017	0.002
41	0.005	0.030	0.045	0.059
42	0.015	0.027	0.024	0.008
43	0.134	0.087	0.167	0.037
44	0.003	0.015	0.010	0.007
45	0.031	0.032	0.159	0.063
46	0.020	0.164	0.024	0.071
47	0.026	0.150	0.117	0.083
48	0.040	0.075	0.051	0.006
49	0.030	0.165	0.306	0.035
50	0.062	0.034	0.132	0.024
51	0.000	0.000	0.000	0.000
52	0.000	0.000	0.000	0.000
53	0.000	0.002	0.000	0.000
54	0.000	0.030	0.000	0.000
