# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.000	0.000	0.000	0.000
2	0.000	0.000	0.000	0.000
3	0.000	0.000	0.000	0.000
4	0.000	0.000	0.000	0.000
5	0.000	0.000	0.000	0.000
6	0.000	0.972	0.000	0.000
7	0.000	0.024	0.000	0.001
8	0.000	0.007	0.000	0.000
9	0.002	0.000	0.000	0.000
10	0.000	0.000	0.000	0.000
11	0.000	0.000	0.000	0.000
12	0.000	0.000	0.000	0.000
13	0.000	0.000	0.002	0.000
14	0.000	0.024	0.000	0.000
15	0.024	0.973	0.000	0.018
16	0.000	0.000	0.002	0.000
17	0.000	0.000	0.000	0.000
18	0.024	0.973	0.000	0.001
19	0.000	0.000	0.000	0.000
20	0.000	0.000	0.024	0.000
21	0.000	0.000	0.000	0.000
22	0.000	0.000	0.026	0.000
23	0.000	0.000	0.000	0.000
24	0.000	0.000	0.000	0.000
25	0.000	0.000	0.000	0.000
26	0.002	0.000	0.000	0.000
27	0.000	0.000	0.002	0.000
28	0.972	0.000	0.000	0.000
29	0.000	0.000	0.000	0.000
30	0.000	0.024	0.000	0.000
31	0.000	0.000	0.000	0.000
32	0.000	0.000	0.000	0.034
33	0.000	0.000	0.000	0.000
34	0.000	0.024	0.000	0.069
35	0.000	0.000	0.000	0.000
36	0.000	0.000	0.000	0.000
37	0.000	0.000	0.000	0.000
38	0.000	0.000	0.000	0.069
39	0.000	0.000	0.000	0.000
40	0.000	0.000	0.000	0.002
41	0.000	0.001	0.000	0.000
42	0.000	0.996	0.000	0.000
43	0.000	0.000	0.000	0.000
44	0.000	0.000	0.000	0.000
45	0.000	0.006	0.000	0.871
46	0.000	0.000	0.979	0.000
47	0.000	0.000	0.000	0.000
48	0.018	0.002	0.972	0.000
49	0.000	0.000	0.017	0.031
50	0.000	0.000	0.006	0.000
51	0.000	0.000	0.000	0.000
52	0.000	0.000	0.001	0.001
53	0.006	0.000	0.001	0.002
54	0.000	0.000	0.456	0.001
